,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
188,188,Dingle,PH,10.9995,122.6711,85.71,68,39,8.63,scattered clouds,SEGAYA PROPERTY
191,191,Lorengau,PG,-2.0226,147.2712,85.12,70,100,12.19,overcast clouds,Lorengau Harbourside Hotel
192,192,Kaili,ID,-3.4626,120.2147,74.12,91,100,2.26,overcast clouds,
193,193,Santa Luzia,BR,-19.7697,-43.8514,73.74,64,0,9.22,clear sky,Pousada Chao Earth
195,195,Naze,JP,28.3667,129.4833,81.52,75,99,1.32,overcast clouds,Shishime Hotel
199,199,Gogrial,SS,8.5332,28.1004,70.43,98,100,2.93,light rain,
200,200,Ramon,PH,16.7842,121.535,79.57,83,100,1.5,overcast clouds,La Casa De Escudero
201,201,Paliyad,IN,22.25,71.5667,80.74,71,96,1.21,overcast clouds,આપણું બોટાદ
206,206,Chodavaram,IN,17.8333,82.95,76.84,95,100,3.51,heavy intensity rain,Ganesh Defence Academy chodavadaram hostel
208,208,Karratha,AU,-20.7377,116.8463,85.33,27,2,5.68,clear sky,ibis Styles Karratha
212,212,Muisne,EC,0.6,-80.0333,73.89,81,90,10.47,overcast clouds,Quinta Samay
215,215,Marrakesh,MA,31.6315,-8.0083,71.67,73,40,4.61,scattered clouds,Les Jardins de La Koutoubia
218,218,Jieshi,CN,22.8134,115.8257,80.91,67,6,7.7,clear sky,Yuehai Hotel
219,219,Lapi,PH,17.716,121.8978,84.7,65,100,1.3,moderate rain,
225,225,Nawabganj,BD,24.5911,88.271,81.95,77,10,7.25,clear sky,দা সফ্‌ট আইটি
227,227,Hirara,JP,24.8,125.2833,85.86,70,40,10.36,scattered clouds,Hotel Atoll Emerald Miyakojima
230,230,Tagusao,PH,9.1924,117.8141,85.08,69,98,2.01,overcast clouds,Caycay future beach resort
237,237,Teguise,ES,29.0605,-13.564,70.02,83,40,12.66,scattered clouds,B&B La Casona de Nazaret
241,241,Piracuruca,BR,-3.9281,-41.7092,75.18,87,31,4.16,scattered clouds,Pousada Piracuruca
242,242,Boyolangu,ID,-8.1181,111.8935,81.82,77,81,7.56,broken clouds,Yos ega cv
243,243,Nouakchott,MR,18.0858,-15.9785,75.13,68,99,13.67,overcast clouds,HOTEL IMAN
248,248,Acarau,BR,-2.8856,-40.12,78.82,81,11,15.19,few clouds,castelo pizzaria
251,251,Conceicao Da Barra,BR,-18.5933,-39.7322,75.2,85,53,7.7,broken clouds,Cricaré Praia Hotel
253,253,Alofi,NU,-19.0595,-169.9187,73.29,94,100,13.8,overcast clouds,Taloa Heights
254,254,Puerto Leguizamo,CO,-0.1934,-74.7819,70.95,98,99,0.65,overcast clouds,la casona de juancho
255,255,Hasaki,JP,35.7333,140.8333,77.22,54,100,17.6,overcast clouds,Inubosaki Kanko Hotel
257,257,Les Cayes,HT,18.2,-73.75,79.03,82,6,4.41,clear sky,Villa Orphee
258,258,Victoria,HK,22.2855,114.1577,84.96,76,7,5.99,clear sky,Mini Central
260,260,San Cristobal,VE,7.7669,-72.225,73.58,92,96,1.5,overcast clouds,Pirineos
262,262,Guaira,BR,-20.3183,-48.3106,76.32,52,99,3.36,overcast clouds,Hotel do Lago
264,264,Linhares,BR,-19.3911,-40.0722,74.01,91,72,1.66,moderate rain,Hotel Conceição
270,270,Kefamenanu,ID,-9.4467,124.4781,89.1,46,69,7.11,broken clouds,Sokowindo Losmen
273,273,Manaure,CO,11.7751,-72.4445,81.43,79,100,5.12,overcast clouds,Hotel Palaaima
275,275,Ixtapa,MX,20.7,-105.2,83.43,74,0,3.44,clear sky,hotel la terminal
282,282,Ouallam,NE,14.3188,2.0866,84.9,49,65,8.59,broken clouds,
285,285,Wad Rawah,SD,15.1603,33.1397,80.1,63,100,13.02,overcast clouds,حوش جلي ودراوة
287,287,Sao Filipe,CV,14.8961,-24.4956,77.43,80,21,6.02,few clouds,Hotel Xaguate
288,288,Tiarei,PF,-17.5333,-149.3333,82.42,78,27,16.89,light rain,Le Rocher de Tahiti
290,290,Dera Bugti,PK,29.0307,69.151,77.61,33,0,1.21,clear sky,Nawab Bugti House
292,292,Sola,VU,-13.8833,167.55,88.47,66,41,2.3,scattered clouds,Leumerus Bungalows
293,293,Abomsa,ET,9.9833,39.9833,73.15,44,95,6.62,overcast clouds,
294,294,Finschhafen,PG,-6.6024,147.8681,85.86,66,79,9.71,broken clouds,Oasis Gagidu Ltd
296,296,Berbera,SO,10.4396,45.0143,85.23,63,9,2.86,clear sky,IBCO REAL ESTATE PROPERTY
302,302,Hat Yai,TH,7.0084,100.4767,78.98,89,75,2.3,moderate rain,New Season Hotel
303,303,Casino,AU,-28.8667,153.05,75.78,47,53,7.34,broken clouds,Squatters Homestead Motel
308,308,Mount Isa,AU,-20.7333,139.5,80.37,24,0,11.5,clear sky,ibis Styles Mt Isa Verona
312,312,Naifaru,MV,5.4444,73.3657,81.46,72,10,13.85,clear sky,Naifaru Residence Guest House
315,315,Sohagpur,IN,22.7,78.2,75.65,88,98,2.28,overcast clouds,Hotel Vatika Inn- A unit of Hotel Ramayan
317,317,Porto Walter,BR,-8.2686,-72.7439,71.78,90,83,3.02,broken clouds,Hotel Silva
319,319,Magadi,IN,12.9667,77.2333,71.76,81,60,4.5,broken clouds,Gobi centre
321,321,Faanui,PF,-16.4833,-151.75,78.44,76,8,17.2,clear sky,Bora-Bora Pearl Beach Resort & Spa
322,322,Bonthe,SL,7.5264,-12.505,76.53,90,100,4.76,overcast clouds,Bonthe Holiday Village
325,325,Takoradi,GH,4.8845,-1.7554,75.06,90,52,6.51,broken clouds,Raybow International Hotel
327,327,Honiara,SB,-9.4333,159.95,84.45,70,93,4.9,overcast clouds,Heritage Park Hotel
329,329,Morondava,MG,-20.2833,44.2833,75.24,83,82,2.71,broken clouds,La Case Bambou
330,330,Bacolod,PH,10.6667,122.95,86.4,68,53,8.86,broken clouds,Planta Hotel & Residences
332,332,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.11,59,100,2.24,overcast clouds,Hotel GSA
341,341,Nakamura,JP,32.9833,132.9333,70.54,65,99,7.16,overcast clouds,Hotel Crown Hills Nakamura
342,342,Jamame,SO,0.0722,42.7506,74.95,84,55,9.08,broken clouds,
343,343,San Jose,US,37.3394,-121.895,73.22,69,0,8.05,clear sky,The Westin San Jose
345,345,Olinda,BR,-8.0089,-34.8553,78.53,78,40,6.91,scattered clouds,Flat Quatro Rodas Olinda
346,346,Cabo San Lucas,MX,22.8909,-109.9124,85.3,65,0,4.61,clear sky,Hotel Tesoro Los Cabos
348,348,Voh,NC,-20.9667,164.7,86.13,49,40,7.81,scattered clouds,Le gîte du Koniambo
351,351,Kieta,PG,-6.2167,155.6333,85.26,55,22,6.04,few clouds,Uruna Bay Retreat
353,353,Tecoanapa,MX,16.5167,-98.75,80.1,85,4,4.29,clear sky,Hotel Manglares
354,354,Touros,BR,-5.1989,-35.4608,76.95,83,2,13.51,clear sky,INN NEW HORIZON
355,355,Umm Kaddadah,SD,13.6017,26.6876,77.54,68,100,10.45,overcast clouds,
356,356,Salvador,SV,13.8333,-88.9167,75.6,90,100,3.8,overcast clouds,Chico's Ranch
358,358,Tadine,NC,-21.55,167.8833,77.23,72,8,20.07,clear sky,
359,359,Cururupu,BR,-1.8283,-44.8683,76.84,86,11,4.81,few clouds,POUSADA TRAVÉS'CIA
360,360,Myanaung,MM,18.2833,95.3167,80.17,82,42,2.04,scattered clouds,Garden House Bungalow Guesthouse
363,363,Altar,MX,30.7,-111.8167,83.46,29,49,7.54,scattered clouds,Hotel Maria Elena
366,366,Praia,CV,14.9215,-23.5087,79.34,78,20,16.11,few clouds,LT Aparthotel
368,368,Meulaboh,ID,4.1363,96.1285,79.43,76,100,2.95,overcast clouds,Kost Pria
369,369,Saint George,US,37.1041,-113.5841,82.99,25,0,1.01,clear sky,Best Western Plus Abbey Inn
370,370,Yarada,IN,17.65,83.2667,77.32,100,75,6.91,heavy intensity rain,Yarada Jungle Beach Resorts
372,372,Kahului,US,20.8947,-156.47,83.97,75,40,10.36,scattered clouds,Maui Seaside Hotel
373,373,Wanning,CN,18.8003,110.3967,80.76,85,93,12.53,overcast clouds,Paradise Hotel
375,375,Adrar,MR,20.5022,-10.0711,86.16,35,71,13.76,light rain,
376,376,Bafoulabe,ML,13.8065,-10.8321,78.78,73,95,1.25,overcast clouds,Logement du Chargé SIS Abdoul Karim Konaté
377,377,Bilma,NE,18.6853,12.9164,79.18,22,34,8.37,scattered clouds,Expeditions Ténére voyages
379,379,Barstow,US,34.8986,-117.0228,83.39,26,3,2.75,clear sky,"Motel 6 Barstow, CA"
381,381,Micheweni,TZ,-4.9667,39.8333,74.64,76,86,11.3,overcast clouds,
387,387,Itarana,BR,-19.8739,-40.8753,72.01,95,100,1.5,moderate rain,Hotel Aline
392,392,Lazaro Cardenas,MX,17.9583,-102.2,80.13,81,3,4.03,clear sky,HOTEL QUINTA ANTIGUA
393,393,Majene,ID,-3.5403,118.9707,82.58,78,100,2.19,overcast clouds,Kost Putri RABBANI
398,398,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,40,5.75,scattered clouds,Vila Nova Hotel
399,399,Auki,SB,-8.7676,160.7034,84.94,66,68,4.7,broken clouds,Auki Motel
403,403,Ojinaga,MX,29.5667,-104.4167,72.55,53,40,14.97,scattered clouds,Suites Las Palmas
404,404,Nador,MA,35.174,-2.9287,71.85,94,100,4.61,overcast clouds,Hôtel La Giralda
405,405,Morro Bay,US,35.3658,-120.8499,76.93,92,37,1.99,scattered clouds,Inn at Morro Bay
407,407,Shwebo,MM,22.5667,95.7,80.11,82,98,4.07,overcast clouds,MOON SHINE Guest House
410,410,Ca Mau,VN,9.1769,105.15,81.05,80,100,0.31,overcast clouds,Mường Thanh Luxury Cà Mau Hotel
411,411,Yulara,AU,-25.2406,130.9889,75.38,19,0,11.92,clear sky,Desert Gardens Hotel - Ayers Rock Resort
412,412,Namatanai,PG,-3.6667,152.4333,85.62,58,40,12.57,scattered clouds,Seagulls Inn Namatani
414,414,Atar,MR,20.5169,-13.0499,86.99,29,100,2.98,overcast clouds,Oumou Elghoura
416,416,Inhambane,MZ,-23.865,35.3833,70.14,91,3,3.78,clear sky,Oceano
417,417,Soure,BR,-0.7167,-48.5233,80.35,79,9,9.84,clear sky,Casarão da Amazônia
419,419,Palma Soriano,CU,20.2172,-75.9989,79.66,89,21,1.74,few clouds,Mercedes Rooms
422,422,Poum,NC,-20.2333,164.0167,78.96,75,11,17.92,few clouds,
424,424,Tautira,PF,-17.7333,-149.15,76.96,79,44,15.39,light rain,Pension Oaoa
425,425,Tubuala,PA,9.5167,-79.0333,76.26,90,100,11.9,overcast clouds,
427,427,Catuday,PH,16.2923,119.8062,84.38,64,50,7.18,scattered clouds,Benjie's Kubo & Cottages
429,429,Leo,BF,11.1,-2.1,70.66,88,19,3.2,few clouds,Hotel Sissilis
430,430,Sokode,TG,8.9833,1.1333,70.11,96,61,0.85,broken clouds,ESSOFA HOTEL
433,433,Ballina,AU,-28.8667,153.5667,76.01,80,57,9.17,broken clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
437,437,Puri,IN,19.8,85.85,81.12,79,100,6.55,overcast clouds,OYO 1577 Hotel Shree Hari Grand
441,441,Martapura,ID,-3.4167,114.85,77.09,94,40,3.44,moderate rain,Montana Hotel Syariah
442,442,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,13.8,scattered clouds,Atlantis Hotel
443,443,Panuco,MX,22.05,-98.1667,78.98,91,99,3.56,overcast clouds,Hotel Plaza
446,446,Amahai,ID,-3.3333,128.9167,86.49,66,67,3.58,broken clouds,HOTEL ISABELA
449,449,Altamira,BR,-3.2033,-52.2064,80.08,52,92,1.41,overcast clouds,Requinte Hotel
454,454,America Dourada,BR,-11.4553,-41.4361,71.55,68,29,10.36,scattered clouds,Cantinho das araras
455,455,Gao,ML,16.6362,1.637,84.99,18,5,9.69,clear sky,
459,459,Dong Xoai,VN,11.5333,106.9167,79.84,84,100,3.22,overcast clouds,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
461,461,Pyapon,MM,16.2833,95.6833,82.89,76,85,4.61,light rain,Aung Naing Thu Motel
462,462,Mazamari,PE,-11.3258,-74.5308,71.04,89,80,1.68,broken clouds,Hospedaje Ratto
464,464,Zorgo,BF,12.2489,-0.6158,75.88,77,100,5.82,overcast clouds,Hôtel Pang Ya Wendé
466,466,Kushima,JP,31.4583,131.2333,74.57,75,100,10.94,overcast clouds,Hanaoka
467,467,Bintulu,MY,3.1667,113.0333,77.41,94,40,7.0,scattered clouds,900 Boutique INN
469,469,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,94,20,9.01,few clouds,Hotel Branco I
470,470,Tomigusuku,JP,26.185,127.675,82.53,69,75,10.36,broken clouds,Hotel Gran View Okinawa
472,472,Maraa,BR,-1.8333,-65.3667,78.06,57,90,3.6,overcast clouds,
483,483,Cockburn Town,TC,21.4612,-71.1419,82.65,75,0,22.66,clear sky,Osprey Beach Hotel
484,484,Rosetta,EG,31.4044,30.4164,72.14,59,5,10.98,clear sky,Green Valley
486,486,The Valley,AI,18.217,-63.0578,81.1,74,37,18.43,scattered clouds,CeBlue Villas & Beach Resort
492,492,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.23,63,28,1.45,scattered clouds,Rio Xingu Camping
494,494,Caravelas,BR,-17.7125,-39.2481,74.1,86,41,8.28,scattered clouds,Pousada dos Navegantes
498,498,Ormara,PK,25.2088,64.6357,82.56,30,0,9.31,clear sky,Kenara Colony House for Rent
499,499,Pemba,MZ,-12.974,40.5178,72.3,94,20,5.75,few clouds,Guesthouse Samotina
500,500,Banjar,ID,-8.19,114.9675,89.51,61,99,1.86,overcast clouds,The Hamsa Resort
503,503,Saint-Georges,GD,12.0564,-61.7485,80.28,89,75,11.5,broken clouds,Radisson Grenada Beach Resort
504,504,Puerto Madero,MX,14.7208,-92.4215,75.4,100,75,2.3,broken clouds,DEPARTAMENTOS LA ESTANCIA
505,505,Ahuimanu,US,21.4447,-157.8378,83.91,69,40,9.22,scattered clouds,Paradise Bay Resort
511,511,Hoshangabad,IN,22.75,77.7167,77.68,85,100,4.05,overcast clouds,NAMAN NARMADA
513,513,Pochutla,MX,15.7432,-96.4661,79.83,91,98,3.89,overcast clouds,Hotel Posada San Jose
516,516,Bryan,US,30.6744,-96.37,77.02,43,0,8.05,clear sky,Best Western Premier Bryan College Station
518,518,Simbahan,PH,6.3032,120.5836,82.99,71,69,1.68,broken clouds,
526,526,Puerto Quijarro,BO,-17.7833,-57.7667,77.56,55,1,2.64,clear sky,Hotel palance
527,527,Japura,ID,-0.3167,102.35,75.06,89,100,0.58,overcast clouds,Rumah mbah Jamah
532,532,Santa Clara,CU,22.4,-79.9667,78.46,89,40,5.75,scattered clouds,El Carmen
533,533,Kendari,ID,-3.945,122.4989,87.08,62,100,4.92,light rain,Hotel Wixel
534,534,Kalmunai,LK,7.4167,81.8167,81.55,71,78,4.12,broken clouds,VS Villa
538,538,Palauig,PH,15.435,119.9045,86.43,62,10,5.77,clear sky,Villa Raphael Resort
539,539,Hidrolandia,BR,-4.4081,-40.4378,78.82,68,44,7.83,scattered clouds,Pousada Rei De Carneiro
541,541,Aitape,PG,-3.1374,142.3475,84.16,76,30,8.14,scattered clouds,
542,542,Coahuayana,MX,18.7333,-103.6833,77.54,90,61,2.15,broken clouds,El rranchito michuacan de ocampos
544,544,Axim,GH,4.8699,-2.2405,75.38,89,55,5.48,broken clouds,Axim Beach Resort And Spa
547,547,Lafayette,US,30.2335,-92.0668,73.35,57,0,9.22,clear sky,"Drury Inn & Suites Lafayette, LA"
548,548,Fare,PF,-16.7,-151.0167,78.19,77,7,17.54,clear sky,Maitai Lapita Village Huahine
554,554,Tizimin,MX,21.15,-88.15,76.64,76,93,7.81,overcast clouds,silva hogar
555,555,Sonari,IN,27.0667,95.0333,73.45,90,87,1.14,light rain,Hotel Green View
559,559,Parrita,CR,9.5201,-84.3225,75.4,94,100,1.34,overcast clouds,Beso del Viento
560,560,Ternate,ID,0.8,127.4,85.55,67,97,3.58,overcast clouds,Sahid Bela Ternate Hotel
561,561,Lagoa,PT,39.05,-27.9833,70.05,92,42,14.36,scattered clouds,Casa Das Faias
562,562,Kloulklubed,PW,7.0419,134.2556,88.3,68,11,4.85,few clouds,Storyboard Beach Resort
564,564,Penedo,BR,-10.2903,-36.5864,72.36,91,22,2.3,few clouds,Hotel São Francisco
565,565,Castanos,MX,26.7833,-101.4167,71.35,63,97,3.78,overcast clouds,Bomberos voluntarios castaños coahuila
569,569,Oranjestad,AW,12.524,-70.027,84.15,84,20,16.11,few clouds,Divi Village Golf & Beach Resort
571,571,Koraput,IN,18.8167,82.7167,73.71,80,77,8.23,broken clouds,Raj Residency
572,572,Kangaba,ML,11.9333,-8.4167,73.24,89,87,3.0,light rain,CAF (case de l´amitié et de la fraternité)
575,575,Galveston,US,29.3669,-94.9669,79.97,74,0,6.91,clear sky,Crystal Suites
577,577,Emerald,AU,-23.5333,148.1667,76.33,70,99,15.75,overcast clouds,The Irish Village
578,578,Andros Town,BS,24.7,-77.7667,76.96,74,46,13.69,scattered clouds,Hanks place
579,579,Kapoeta,SS,4.7717,33.5903,70.95,83,100,3.15,overcast clouds,Eastgate Hotel
580,580,Deogarh,IN,21.5333,84.7333,80.71,78,20,4.63,few clouds,Amit Henej House
581,581,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,78.39,49,1,3.13,clear sky,Quedas Palace Hotel
583,583,Nan,TH,18.8333,100.6667,77.02,83,40,3.44,scattered clouds,สะเนียน2
584,584,Dondaicha,IN,21.3333,74.5667,77.88,83,100,3.31,overcast clouds,Mahavir Farm House
586,586,Yanam,IN,16.7333,82.2167,76.8,94,100,7.23,light rain,The Regency Hotel
587,587,Araripe,BR,-7.2125,-40.0461,74.64,41,0,9.19,clear sky,
588,588,Rodrigues Alves,BR,-7.738,-72.6509,71.04,93,85,2.86,overcast clouds,Pousada Aconchego
589,589,Nabire,ID,-3.3667,135.4833,84.15,75,98,3.94,overcast clouds,Hotel Nusantara I
590,590,Marzuq,YE,14.4,46.4667,70.3,46,32,2.55,scattered clouds,حيد القفلة
592,592,Charters Towers,AU,-20.1,146.2667,86.59,39,94,7.09,overcast clouds,Cattleman's Rest Motor Inn
594,594,Port-Gentil,GA,-0.7193,8.7815,77.49,85,90,8.7,overcast clouds,Fengshui Residence
599,599,Pontes E Lacerda,BR,-15.2261,-59.3353,75.51,68,14,3.27,few clouds,Hotel Bressan
600,600,Winneba,GH,5.3511,-0.6231,74.88,92,41,6.26,scattered clouds,Windy Lodge & Beach Resort
601,601,Tiznit,MA,29.5833,-9.5,72.59,54,100,0.94,overcast clouds,
603,603,Cabedelo,BR,-6.9811,-34.8339,79.47,86,68,12.06,broken clouds,Pousada Camboinha
609,609,Bhavani,IN,11.45,77.6833,77.14,81,100,1.36,overcast clouds,Hotel Paviesh Park
610,610,Anloga,GH,5.7947,0.8973,77.92,84,34,9.35,scattered clouds,Pin Drop Hotel
611,611,Gigmoto,PH,13.7796,124.39,84.92,73,20,6.22,few clouds,Cj's Travellers Inn
612,612,Shasta Lake,US,40.6804,-122.3708,78.82,31,0,3.94,clear sky,Shasta Dam Motel
613,613,Tanout,NE,14.9709,8.8879,83.35,23,7,10.27,clear sky,
614,614,Sibolga,ID,1.7427,98.7792,84.38,62,100,1.88,overcast clouds,Hotel Syariah CN Darussalam
616,616,Padang,ID,-0.9492,100.3543,84.25,60,100,2.44,overcast clouds,Mercure Padang
621,621,Marawi,PH,7.9986,124.2928,77.85,81,75,3.65,broken clouds,Derogongan Residence
