City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ulaanbaatar,MN,2022-10-04 04:07:01,47.9077,106.8832,32.13,40,0,8.95
68,Torbay,CA,2022-10-04 04:08:31,47.6666,-52.7314,41.4,80,7,4.0
69,Jamestown,US,2022-10-04 04:09:21,42.097,-79.2353,44.24,74,0,6.91
70,Buta,CD,2022-10-04 04:09:21,2.7858,24.73,68.47,100,100,1.03
71,Pevek,RU,2022-10-04 03:57:58,69.7008,170.3133,29.32,75,100,8.75
72,Atuona,PF,2022-10-04 04:07:07,-9.8,-139.0333,77.04,73,44,19.66
73,Cabo San Lucas,MX,2022-10-04 04:06:08,22.8909,-109.9124,83.5,73,1,5.3
74,Vaini,TO,2022-10-04 04:09:22,-21.2,-175.2,80.76,74,75,12.66
75,Karlskrona,SE,2022-10-04 04:09:05,56.1616,15.5866,43.25,84,2,10.74
76,Kununurra,AU,2022-10-04 04:09:23,-15.7667,128.7333,96.78,30,75,3.44
77,Sainte-Anne-Des-Monts,CA,2022-10-04 04:09:23,49.124,-66.4924,45.05,59,17,11.25
78,Ngong,KE,2022-10-04 04:09:23,-1.3618,36.6566,57.78,67,78,4.83
79,Mar Del Plata,AR,2022-10-04 03:57:13,-38.0023,-57.5575,52.09,89,40,8.05
80,Hilo,US,2022-10-04 03:59:30,19.7297,-155.09,81.28,100,83,3.0
81,Urucara,BR,2022-10-04 04:03:30,-2.5364,-57.76,73.38,86,98,3.02
82,Berlevag,NO,2022-10-04 04:07:11,70.8578,29.0864,39.15,87,100,3.44
83,San Joaquin,US,2022-10-04 04:09:25,37.9333,-121.3011,72.52,64,0,8.05
84,Lesnyye Polyany,RU,2022-10-04 04:09:25,55.9667,37.8667,50.23,80,100,17.34
85,Port Elizabeth,ZA,2022-10-04 04:08:11,-33.918,25.5701,57.31,85,11,3.0
86,Meulaboh,ID,2022-10-04 04:07:18,4.1363,96.1285,78.8,82,95,2.71
87,Albany,US,2022-10-04 04:05:57,42.6001,-73.9662,48.45,79,100,4.14
88,Varhaug,NO,2022-10-04 04:10:26,58.6147,5.6457,54.9,88,100,16.24
89,Sur,OM,2022-10-04 04:10:26,22.5667,59.5289,81.25,63,0,5.23
90,Tuatapere,NZ,2022-10-04 04:10:27,-46.1333,167.6833,43.61,95,100,10.56
91,Tanete,ID,2022-10-04 04:10:27,-3.9443,119.7848,88.97,60,88,3.53
92,Nikolskoye,RU,2022-10-04 03:59:30,59.7035,30.7861,46.29,95,80,4.74
93,Cape Town,ZA,2022-10-04 04:05:33,-33.9258,18.4232,61.38,84,85,1.01
94,Temozon,MX,2022-10-04 04:10:28,20.8,-88.2167,70.9,89,6,2.37
95,Port Hardy,CA,2022-10-04 04:09:59,50.6996,-127.4199,58.53,91,85,4.07
96,Sibolga,ID,2022-10-04 04:05:30,1.7427,98.7792,80.11,79,98,3.04
97,Marawi,PH,2022-10-04 04:07:08,7.9986,124.2928,80.92,64,98,5.28
